,horizon,mse,rmse,mae,mape,coverage
37,74 days 00:00:00.000000000,2214.5879377744486,47.059408599922385,38.71247246123308,0.15304294358347179,0.20922882427307204
38,75 days 00:00:00.000000000,2225.9991150629435,47.18049507013405,38.88973522474411,0.15369303481710264,0.20670037926675094
39,76 days 00:00:00.000000000,2228.2192923600014,47.20401775654273,39.00969482086866,0.15460168302304972,0.20353982300884962
40,77 days 00:00:00.000000000,2217.975844259139,47.09539090249851,39.06297602311522,0.15493365805639028,0.19911504424778761
41,78 days 00:00:00.000000000,2211.719344268855,47.02892029665209,39.073821380750054,0.15492242066547748,0.19395280235988197
42,79 days 00:00:00.000000000,2242.2294441494655,47.352185209866136,39.48525049242216,0.1563291523279146,0.19026548672566373
43,80 days 00:00:00.000000000,2251.702221296796,47.45210449808096,39.641074660880115,0.15681350124642798,0.19026548672566373
44,81 days 00:00:00.000000000,2237.482147781036,47.30203111686681,39.56517237370076,0.15625761928357454,0.1890012642225032
45,82 days 00:00:00.000000000,2227.7493910842245,47.199040150030854,39.58951170509051,0.156336760249088,0.1852085967130215
46,83 days 00:00:00.000000000,2236.3479205106514,47.290040394470495,39.815760230402816,0.15764678195761414,0.18204804045512007
47,84 days 00:00:00.000000000,2214.753913937473,47.06117204168924,39.73791384365628,0.15749989759793123,0.17772861356932157
48,85 days 00:00:00.000000000,2202.9712173804505,46.93582019503282,39.664769957526644,0.15710461555747124,0.17109144542772853
49,86 days 00:00:00.000000000,2230.269568080739,47.2257299369818,40.00018475392483,0.15824830490459021,0.1637168141592921
50,87 days 00:00:00.000000000,2224.9234305549367,47.16909401880575,39.9892571483395,0.15808548016182952,0.16224188790560473
51,88 days 00:00:00.000000000,2202.71133913209,46.93305167077984,39.82261700004287,0.1572334892117121,0.1580278128950695
52,89 days 00:00:00.000000000,2179.6121938628185,46.68631698755877,39.70500214456362,0.15665280523672312,0.1554993678887484
53,90 days 00:00:00.000000000,2191.2990647759993,46.81131342716202,39.84667568032376,0.15760268064773575,0.15044247787610615
54,91 days 00:00:00.000000000,2168.306613423699,46.56507933445082,39.65084906813773,0.1570317448926151,0.14513274336283186
55,92 days 00:00:00.000000000,2169.412380553542,46.57695117280157,39.59356548371022,0.15669488260436112,0.14159292035398233
56,93 days 00:00:00.000000000,2192.1398241372763,46.820292866846486,39.84788224081226,0.15765480179499342,0.1312684365781711
