date,open,high,low,close,volume
2/27/2014,90.17,92.04,89.42,91.62,718800
2/28/2014,91.83,92.468,89.0601,89.69,801900
3/3/2014,88.94,89.86,88.176,88.42,568500
3/4/2014,89.36,89.94,88.39,89.06,631100
3/5/2014,89.62,89.82,87.98,88.5,949100
3/6/2014,88.74,88.94,86.9,87.3,716600
3/7/2014,87.95,88.17,86.52,87.3,954600
3/10/2014,87.14,89.85,86.975,89.64,1388500
3/11/2014,89.55,92.91,89.2,91.5,2251400
3/12/2014,90.69,91.7499,89.09,91.39,1505400
3/13/2014,91.38,91.6,89.05,89.51,2317600
3/14/2014,95.89,97.86,95,95.26,7449500
3/17/2014,95.5,96.8,94.42,96.41,1387300
3/18/2014,96.37,99.47,96.024,98.64,1452600
3/19/2014,98.85,101.35,97.85,101.27,1556100
3/20/2014,103.03,106.83,102.775,104.3,3055800
3/21/2014,104.1,105,100.84,100.84,1975600
3/24/2014,100.45,101.88,99.931,101.26,1110800
3/25/2014,101.41,102.219,99.8,100.34,1030300
3/26/2014,102.65,105,101.42,101.43,1326500
3/27/2014,101.01,101.27,98.13,98.75,1505600
3/28/2014,98.87,100.17,96.57,97.89,1568100
3/31/2014,98.47,98.9,96.795,97.44,1066500
4/1/2014,97.59,99.33,97.146,98.98,1351400
4/2/2014,98.9,100.25,98.8,100.11,916700
4/3/2014,100.26,100.78,99.32,99.77,694300
4/4/2014,100.09,100.635,95.23,96.09,1314900
4/7/2014,95.71,95.93,91.76,93.75,1483700
4/8/2014,93.43,96.04,93.31,95.87,1329200
4/9/2014,96.3,98.43,95.285,97.08,833400
4/10/2014,96.84,97.27,93.96,94.85,1342200
4/11/2014,93.78,94,88.46,91.05,2960100
4/14/2014,91.85,93.37,89.62,90.13,1022500
4/15/2014,91.08,92.24,87.671,90.42,1329600
4/16/2014,91.17,92.5979,89.74,90.22,969400
4/17/2014,90.26,90.77,86.57,87.79,1795000
4/21/2014,88.2,90.77,88.2,89.59,1003500
4/22/2014,90.18,91.239,88.86,89.41,873300
4/23/2014,89.41,89.74,88.09,88.22,672200
4/24/2014,88.85,90.09,86.825,89.63,606800
4/25/2014,89.2,90.01,87.5,88.11,498700
4/28/2014,88.42,89.8125,84.59,86.58,1377000
4/29/2014,86.57,87.16,84.86,86,763500
4/30/2014,85.95,87.9,85.36,87.71,884600
5/1/2014,87.6,88.13,85.93,85.97,1093400
5/2/2014,86.35,88.39,86.17,88.12,2345600
5/5/2014,88.47,89.21,86.61,88.54,983500
5/6/2014,88.23,89.16,87.34,87.55,1117000
5/7/2014,87.15,88.75,84.4301,84.79,1402700
5/8/2014,84.64,87.35,84.64,85.86,1021200
5/9/2014,85.58,87.97,84.76,87.87,747400
5/12/2014,88.05,90.3199,87.73,89.88,747800
5/13/2014,89.24,89.625,87.57,88.51,659200
5/14/2014,88.41,88.85,86.83,87.15,569700
5/15/2014,87.11,87.18,84.76,86.76,1189600
5/16/2014,86.49,88.03,85.28,87.87,877900
5/19/2014,87.65,88.22,85.66,86.67,721600
5/20/2014,86.44,86.44,85.05,85.33,669300
5/21/2014,85.84,86.67,84.13,84.82,816800
5/22/2014,84.68,86.22,84.68,84.98,675800
5/23/2014,85.2,85.86,84.6,85.43,666200
5/27/2014,85.8,87.87,85.785,87.22,909700
5/28/2014,87,87.17,83.76,85.4,1058500
5/29/2014,85.7,85.76,83.54,85.03,1084100
5/30/2014,84.9,85.39,84.36,84.9,677100
6/2/2014,85.05,87.27,84.735,86.8,730800
6/3/2014,86.8,87.19,86.22,86.77,557900
6/4/2014,86.57,87.26,86.04,87.03,383700
6/5/2014,87.09,88,85.54,85.93,705700
6/6/2014,86.01,87.18,85.81,86.25,739400
6/9/2014,86.27,87.084,85.14,85.41,1233700
6/10/2014,85.12,85.64,84.2,85.31,3146300
6/11/2014,96.17,98.61,95.5,97.11,6442000
6/12/2014,96.54,96.945,94.86,95,1770700
6/13/2014,94.63,95.55,94.09,95.11,770100
6/16/2014,94.92,95.4399,93.75,94.5,826400
6/17/2014,94.5,95.34,94.26,94.64,606200
6/18/2014,94.34,95.05,94.13,94.89,635800
6/19/2014,94.97,95.6,94.27,95.03,777000
6/20/2014,94.78,95.85,94.64,95,974500
6/23/2014,95,95.445,94.11,94.67,620100
6/24/2014,94.35,95.02,93.83,93.88,815000
6/25/2014,93.95,94.33,92.3,92.61,974400
6/26/2014,92.83,93.29,91.04,91.33,911100
6/27/2014,91.07,92.6925,90.82,92.09,995300
6/30/2014,92.16,92.72,91,91.41,756000
7/1/2014,91.63,93.64,91.63,93.41,705000
7/2/2014,93.27,95.17,93.025,94.5,707400
7/3/2014,94.84,96.95,94.79,96.43,695300
7/7/2014,96.09,96.845,95.525,96,610900
7/8/2014,95.97,96.01,94.52,94.91,762600
7/9/2014,94.45,95.505,94.06,94.42,558100
7/10/2014,93.46,94.015,92.11,92.69,627700
7/11/2014,92.74,93.4199,91.21,91.64,607600
7/14/2014,92.5,92.5,90.77,91.5,792400
7/15/2014,91.68,92.339,90.1,90.75,632300
7/16/2014,91.02,91.02,89.24,89.26,640100
7/17/2014,88.88,89.98,88.14,89.75,1103300
7/18/2014,89.97,90.78,89.54,90.44,588200
7/21/2014,90.24,93.13,90.08,93.02,986700
7/22/2014,93.75,93.8,91.522,92.09,603000
7/23/2014,92.06,92.37,91.37,92.2,707100
7/24/2014,92.04,93.31,91.27,93.14,577600
7/25/2014,92.7,93.105,91.1601,92.64,578400
7/28/2014,92.77,92.77,91.72,92.29,594100
7/29/2014,92.4,92.67,91.82,92.25,469100
7/30/2014,92.45,94.28,92.18,94.13,763100
7/31/2014,93.85,94.335,92.3,92.33,746200
8/1/2014,92.33,93.39,91.62,93.06,962200
8/4/2014,93.2,95.18,93.1,94.6,833200
8/5/2014,93.95,95.89,93.885,95.32,681000
8/6/2014,95,95.88,94.331,94.61,826900
8/7/2014,94.86,95.77,93.7,93.92,508900
8/8/2014,94,95,93.91,95,410700
8/11/2014,95.07,95.59,94.35,95.29,379000
8/12/2014,95.44,95.44,92.153,92.97,661200
8/13/2014,92.99,93.54,91.755,92.45,454200
8/14/2014,92.5,94.39,92.5,93.73,402900
8/15/2014,94.37,94.5,91.9,93.24,611000
8/18/2014,93.34,94.83,93.1275,94.53,441800
8/19/2014,94.85,96.12,94.19,95.64,426500
8/20/2014,96.01,99.37,94.8147,97.49,938700
8/21/2014,97.07,97.98,95.2647,96,508900
8/22/2014,95.89,97.8456,95.3415,97.21,489400
8/25/2014,97.67,98.04,96.776,97.4,577200
8/26/2014,97.55,98.94,97.3937,97.72,507900
8/27/2014,97.75,98.5899,97.63,98.14,421300
8/28/2014,97.82,98.3047,97.01,97.91,354600
